County,Donald TrumpRepublican %,Donald TrumpRepublican #,Joe BidenDemocratic %,Joe BidenDemocratic #,Jo JorgensenLibertarian %,Jo JorgensenLibertarian #,Howie HawkinsGreen %,Howie HawkinsGreen #,Other votes %,Other votes #,Totalvotes
Anderson,78.59%,"15,110",20.57%,"3,955",0.70%,134,0.11%,22,0.04%,6,"19,227"
Andrews,84.31%,"4,943",14.50%,850,1.02%,60,0.17%,10,0.00%,0,"5,863"
Angelina,72.40%,"25,076",26.40%,"9,143",0.79%,274,0.22%,75,0.20%,67,"34,635"
Aransas,75.17%,"9,239",23.73%,"2,916",0.84%,103,0.25%,31,0.01%,1,"12,290"
Archer,89.66%,"4,300",9.30%,446,0.94%,45,0.08%,4,0.02%,1,"4,796"
Armstrong,93.08%,"1,035",6.74%,75,0.18%,2,0.00%,0,0.00%,0,"1,112"
Atascosa,66.37%,"12,039",32.40%,"5,876",0.79%,143,0.32%,58,0.12%,22,"18,138"
Austin,78.48%,"11,447",20.23%,"2,951",0.84%,123,0.23%,33,0.22%,32,"14,586"
Bailey,77.10%,"1,434",21.99%,409,0.75%,14,0.11%,2,0.05%,1,"1,860"
Bandera,79.03%,"10,057",19.68%,"2,505",0.94%,120,0.24%,30,0.11%,14,"12,726"
Bastrop,55.81%,"20,516",42.09%,"15,474",1.44%,531,0.35%,128,0.30%,113,"36,762"
Baylor,87.78%,"1,494",10.75%,183,1.29%,22,0.06%,1,0.12%,2,"1,702"
Bee,63.72%,"6,006",34.88%,"3,288",0.99%,93,0.29%,27,0.13%,12,"9,426"
Bell,53.17%,"67,893",44.65%,"57,014",1.55%,"1,980",0.34%,440,0.28%,363,"127,690"
Bexar,40.05%,"308,618",58.20%,"448,452",1.15%,"8,837",0.36%,"2,798",0.24%,"1,866","770,571"
Blanco,72.97%,"5,443",25.62%,"1,911",0.97%,72,0.20%,15,0.24%,18,"7,459"
Borden,95.43%,397,3.85%,16,0.48%,2,0.24%,1,0.00%,0,416
Bosque,81.84%,"7,469",17.10%,"1,561",0.91%,83,0.14%,13,0.00%,0,"9,126"
Bowie,70.87%,"27,116",28.09%,"10,747",0.78%,300,0.24%,91,0.02%,7,"38,261"
Brazoria,58.35%,"90,433",40.15%,"62,228",1.20%,"1,860",0.27%,417,0.03%,46,"154,984"
Brazos,55.71%,"47,530",41.43%,"35,349",2.12%,"1,812",0.30%,252,0.43%,370,"85,313"
Brewster,51.04%,"2,461",46.83%,"2,258",1.85%,89,0.29%,14,0.00%,0,"4,822"
Briscoe,88.14%,639,10.76%,78,0.97%,7,0.14%,1,0.00%,0,725
Brooks,40.18%,998,59.18%,"1,470",0.40%,10,0.24%,6,0.00%,0,"2,484"
Brown,85.78%,"13,698",13.19%,"2,107",0.84%,134,0.15%,24,0.05%,6,"15,969"
Burleson,78.33%,"6,743",20.77%,"1,788",0.73%,63,0.17%,15,0.00%,0,"8,609"
Burnet,75.93%,"18,767",22.81%,"5,639",1.08%,268,0.14%,34,0.04%,9,"24,717"
Caldwell,53.64%,"8,031",44.56%,"6,672",1.27%,190,0.31%,47,0.22%,33,"14,973"
Calhoun,71.80%,"5,641",27.34%,"2,148",0.78%,61,0.08%,6,0.00%,0,"7,856"
Callahan,87.92%,"6,012",10.73%,734,1.04%,71,0.22%,15,0.09%,6,"6,838"
Cameron,42.89%,"49,032",56.04%,"64,063",0.64%,728,0.29%,336,0.15%,167,"114,326"
Camp,71.66%,"3,626",27.55%,"1,394",0.61%,31,0.14%,7,0.04%,2,"5,060"
Carson,89.01%,"2,779",9.51%,297,1.19%,37,0.10%,3,0.19%,6,"3,122"
Cass,79.22%,"11,033",20.07%,"2,795",0.57%,79,0.12%,17,0.02%,3,"13,927"
Castro,76.91%,"1,602",22.37%,466,0.43%,9,0.29%,6,0.00%,0,"2,083"
Chambers,80.15%,"17,353",18.46%,"3,997",1.15%,250,0.23%,50,0.00%,2,"21,652"
Cherokee,77.41%,"15,101",21.58%,"4,210",0.83%,161,0.18%,36,0.00%,0,"19,508"
Childress,85.26%,"1,943",13.60%,310,0.79%,18,0.35%,8,0.00%,0,"2,279"
Clay,88.25%,"5,069",10.69%,614,0.80%,46,0.21%,12,0.05%,3,"5,744"
Cochran,80.90%,809,17.70%,177,1.10%,11,0.30%,3,0.00%,0,"1,000"
Coke,89.15%,"1,586",10.01%,178,0.56%,10,0.28%,5,0.00%,0,"1,779"
Coleman,88.18%,"3,641",10.92%,451,0.56%,23,0.22%,9,0.12%,5,"4,129"
Collin,51.26%,"252,318",46.92%,"230,945",1.23%,"6,075",0.25%,"1,246",0.33%,"1,632","492,216"
Collingsworth,86.04%,"1,048",12.73%,155,0.99%,12,0.08%,1,0.16%,2,"1,218"
Colorado,74.91%,"7,472",24.26%,"2,420",0.50%,50,0.19%,19,0.14%,14,"9,975"
Comal,70.58%,"62,740",27.93%,"24,826",1.24%,"1,106",0.21%,191,0.03%,29,"88,892"
Comanche,85.06%,"5,177",14.02%,853,0.81%,49,0.08%,5,0.03%,2,"6,086"
Concho,83.44%,"1,058",15.54%,197,0.79%,10,0.24%,3,0.00%,0,"1,268"
Cooke,81.98%,"15,596",16.87%,"3,210",0.82%,156,0.14%,26,0.20%,37,"19,025"
Coryell,65.71%,"15,438",32.20%,"7,565",1.75%,410,0.33%,77,0.01%,3,"23,493"
Cottle,81.57%,540,17.07%,113,0.91%,6,0.45%,3,0.00%,0,662
Crane,82.97%,"1,247",16.03%,241,0.67%,10,0.27%,4,0.07%,1,"1,503"
Crockett,77.51%,"1,220",21.86%,344,0.57%,9,0.06%,1,0.00%,0,"1,574"
Crosby,71.48%,"1,396",26.98%,527,1.13%,22,0.41%,8,0.00%,0,"1,953"
Culberson,48.03%,415,50.69%,438,1.04%,9,0.23%,2,0.00%,0,864
Dallam,86.33%,"1,389",12.24%,197,1.12%,18,0.31%,5,0.00%,0,"1,609"
Dallas,33.29%,"307,076",64.89%,"598,576",1.04%,"9,635",0.40%,"3,667",0.39%,"3,559","922,513"
Dawson,77.88%,"2,951",21.32%,808,0.66%,25,0.13%,5,0.00%,0,"3,789"
Deaf Smith,71.45%,"3,294",27.42%,"1,264",0.76%,35,0.37%,17,0.00%,0,"4,610"
Delta,83.41%,"2,162",15.55%,403,0.93%,24,0.12%,3,0.00%,0,"2,592"
Denton,53.23%,"222,480",45.15%,"188,695",1.30%,"5,421",0.26%,"1,092",0.07%,276,"417,964"
DeWitt,80.89%,"6,567",18.40%,"1,494",0.57%,46,0.14%,11,0.00%,0,"8,118"
Dickens,86.34%,853,13.16%,130,0.30%,3,0.20%,2,0.00%,0,988
Dimmit,37.75%,"1,384",61.76%,"2,264",0.27%,10,0.22%,8,0.00%,0,"3,666"
Donley,87.26%,"1,438",12.01%,198,0.67%,11,0.06%,1,0.00%,0,"1,648"
Duval,48.35%,"2,443",50.96%,"2,575",0.44%,22,0.26%,13,0.00%,0,"5,053"
Eastland,87.27%,"7,237",11.85%,983,0.72%,60,0.14%,12,0.01%,1,"8,293"
Ector,73.33%,"32,697",25.49%,"11,367",0.96%,428,0.20%,89,0.02%,10,"44,591"
Edwards,83.77%,893,15.76%,168,0.47%,5,0.00%,0,0.00%,0,"1,066"
El Paso,31.56%,"84,331",66.66%,"178,126",1.03%,"2,746",0.54%,"1,445",0.21%,567,"267,215"
Ellis,66.19%,"56,717",32.17%,"27,565",1.11%,954,0.26%,220,0.27%,232,"85,688"
Erath,81.08%,"13,684",17.28%,"2,916",1.29%,218,0.21%,35,0.14%,24,"16,877"
Falls,68.11%,"4,177",30.96%,"1,899",0.72%,44,0.21%,13,0.00%,0,"6,133"
Fannin,81.10%,"12,171",17.69%,"2,655",1.03%,155,0.15%,23,0.02%,3,"15,007"
Fayette,78.60%,"10,171",20.56%,"2,661",0.64%,83,0.20%,26,0.00%,0,"12,941"
Fisher,79.30%,"1,448",19.28%,352,1.15%,21,0.27%,5,0.00%,0,"1,826"
Floyd,77.69%,"1,584",21.48%,438,0.74%,15,0.10%,2,0.00%,0,"2,039"
Foard,80.76%,445,17.97%,99,1.09%,6,0.18%,1,0.00%,0,551
Fort Bend,44.01%,"157,718",54.57%,"195,552",0.85%,"3,028",0.30%,"1,091",0.26%,944,"358,333"
Franklin,83.07%,"4,161",16.05%,804,0.72%,36,0.16%,8,0.00%,0,"5,009"
Freestone,80.25%,"6,991",18.77%,"1,635",0.77%,67,0.21%,18,0.00%,0,"8,711"
Frio,53.48%,"2,823",45.88%,"2,422",0.44%,23,0.21%,11,0.00%,0,"5,279"
Gaines,89.31%,"5,355",9.61%,576,0.90%,54,0.17%,10,0.02%,1,"5,996"
Galveston,60.56%,"93,911",37.95%,"58,842",1.23%,"1,913",0.25%,393,0.00%,1,"155,060"
Garza,85.48%,"1,413",13.97%,231,0.30%,5,0.24%,4,0.00%,0,"1,653"
Gillespie,78.95%,"12,514",20.04%,"3,176",0.88%,140,0.10%,16,0.03%,4,"15,850"
Glasscock,93.57%,611,5.97%,39,0.46%,3,0.00%,0,0.00%,0,653
Goliad,77.22%,"3,085",21.95%,877,0.60%,24,0.05%,2,0.18%,7,"3,995"
Gonzales,73.57%,"5,627",25.47%,"1,948",0.75%,57,0.20%,15,0.01%,1,"7,648"
Gray,87.90%,"6,840",10.65%,829,1.25%,97,0.21%,16,0.00%,0,"7,782"
Grayson,74.26%,"44,163",24.39%,"14,506",1.07%,634,0.23%,136,0.07%,35,"59,474"
Gregg,67.72%,"32,493",30.84%,"14,796",1.15%,551,0.24%,113,0.06%,29,"47,982"
Grimes,75.98%,"9,432",22.82%,"2,833",0.95%,118,0.24%,30,0.01%,1,"12,414"
Guadalupe,61.16%,"47,553",37.04%,"28,805",1.32%,"1,023",0.27%,211,0.21%,166,"77,758"
Hale,74.87%,"7,177",23.77%,"2,279",1.01%,97,0.32%,31,0.02%,2,"9,586"
Hall,85.12%,995,14.37%,168,0.34%,4,0.09%,1,0.09%,1,"1,169"
Hamilton,83.11%,"3,616",14.73%,641,1.20%,52,0.92%,40,0.05%,2,"4,351"
Hansford,90.33%,"1,849",8.11%,166,1.32%,27,0.15%,3,0.10%,2,"2,047"
Hardeman,84.18%,"1,330",15.25%,241,0.57%,9,0.00%,0,0.00%,0,"1,580"
Hardin,86.33%,"23,858",12.57%,"3,474",1.00%,276,0.10%,27,0.00%,0,"27,635"
Harris,42.69%,"700,630",55.94%,"918,193",1.02%,"16,819",0.31%,"5,129",0.03%,486,"1,641,257"
Harrison,72.23%,"21,466",26.61%,"7,908",0.99%,294,0.14%,42,0.02%,7,"29,717"
Hartley,89.89%,"1,868",9.38%,195,0.67%,14,0.05%,1,0.00%,0,"2,078"
Haskell,83.11%,"1,840",15.94%,353,0.68%,15,0.27%,6,0.00%,0,"2,214"
Hays,43.59%,"47,680",54.41%,"59,524",1.59%,"1,735",0.38%,418,0.03%,38,"109,395"
Hemphill,86.40%,"1,486",11.98%,206,1.45%,25,0.17%,3,0.00%,0,"1,720"
Henderson,79.61%,"28,911",19.44%,"7,060",0.73%,264,0.21%,75,0.02%,7,"36,317"
Hidalgo,40.98%,"90,527",58.04%,"128,199",0.57%,"1,261",0.39%,865,0.01%,32,"220,884"
Hill,79.87%,"11,926",19.15%,"2,860",0.80%,119,0.17%,26,0.00%,0,"14,931"
Hockley,80.69%,"6,536",18.30%,"1,482",0.75%,61,0.20%,16,0.06%,5,"8,100"
Hood,81.42%,"26,496",17.36%,"5,648",0.98%,319,0.22%,71,0.02%,7,"32,541"
Hopkins,79.79%,"12,719",19.11%,"3,046",0.90%,143,0.19%,31,0.01%,2,"15,941"
Houston,74.80%,"7,060",24.52%,"2,314",0.59%,56,0.07%,7,0.01%,1,"9,438"
Howard,78.64%,"8,054",20.20%,"2,069",0.87%,89,0.27%,28,0.01%,1,"10,241"
Hudspeth,66.87%,779,31.85%,371,0.86%,10,0.43%,5,0.00%,0,"1,165"
Hunt,75.56%,"29,163",23.07%,"8,906",1.12%,434,0.18%,71,0.07%,23,"38,597"
Hutchinson,87.55%,"7,681",11.00%,965,1.31%,115,0.11%,10,0.02%,2,"8,773"
Irion,85.38%,759,13.50%,120,0.90%,8,0.22%,2,0.00%,0,889
Jack,90.38%,"3,418",8.75%,331,0.63%,24,0.24%,9,0.00%,0,"3,782"
Jackson,82.34%,"5,231",16.26%,"1,033",0.83%,53,0.36%,23,0.20%,13,"6,353"
Jasper,80.34%,"12,542",18.92%,"2,954",0.67%,105,0.04%,7,0.02%,3,"15,611"
Jeff Davis,60.08%,784,38.39%,501,1.30%,17,0.23%,3,0.00%,0,"1,305"
Jefferson,50.20%,"47,570",48.62%,"46,073",0.95%,897,0.21%,199,0.02%,20,"94,759"
Jim Hogg,40.91%,833,58.79%,"1,197",0.20%,4,0.10%,2,0.00%,0,"2,036"
Jim Wells,54.52%,"7,453",44.77%,"6,119",0.50%,69,0.20%,28,0.00%,0,"13,669"
Johnson,75.85%,"54,628",22.86%,"16,464",1.07%,771,0.20%,142,0.01%,15,"72,020"
Jones,83.96%,"5,660",14.82%,999,0.93%,63,0.28%,19,0.00%,0,"6,741"
Karnes,75.55%,"3,968",23.50%,"1,234",0.57%,30,0.32%,17,0.06%,3,"5,252"
Kaufman,66.34%,"37,624",32.45%,"18,405",0.93%,528,0.26%,146,0.03%,15,"56,718"
Kendall,75.92%,"20,083",22.76%,"6,020",1.09%,289,0.17%,46,0.05%,14,"26,452"
Kenedy,65.46%,127,33.51%,65,0.52%,1,0.52%,1,0.00%,0,194
Kent,88.96%,411,10.17%,47,0.65%,3,0.22%,1,0.00%,0,462
Kerr,75.25%,"20,879",23.51%,"6,524",1.02%,283,0.18%,51,0.03%,8,"27,745"
Kimble,86.69%,"1,987",12.39%,284,0.74%,17,0.17%,4,0.00%,0,"2,292"
King,94.97%,151,5.03%,8,0.00%,0,0.00%,0,0.00%,0,159
Kinney,71.37%,"1,144",27.82%,446,0.69%,11,0.12%,2,0.00%,0,"1,603"
Kleberg,50.29%,"5,504",48.56%,"5,314",0.89%,97,0.26%,29,0.00%,0,"10,944"
Knox,81.04%,"1,180",18.20%,265,0.48%,7,0.27%,4,0.00%,0,"1,456"
La Salle,55.49%,"1,335",43.72%,"1,052",0.50%,12,0.29%,7,0.00%,0,"2,406"
Lamar,78.16%,"16,760",20.79%,"4,458",0.80%,172,0.13%,28,0.11%,24,"21,442"
Lamb,79.84%,"3,521",19.05%,840,0.91%,40,0.16%,7,0.04%,2,"4,410"
Lampasas,77.76%,"8,086",20.62%,"2,144",1.39%,145,0.23%,24,0.00%,0,"10,399"
Lavaca,86.34%,"8,804",13.07%,"1,333",0.45%,46,0.08%,8,0.06%,6,"10,197"
Lee,77.22%,"6,255",21.60%,"1,750",0.80%,65,0.20%,16,0.17%,14,"8,100"
Leon,86.62%,"7,523",12.34%,"1,072",0.66%,57,0.16%,14,0.23%,19,"8,685"
Liberty,79.44%,"23,302",19.72%,"5,785",0.74%,218,0.10%,29,0.00%,0,"29,334"
Limestone,74.65%,"6,789",24.33%,"2,213",0.73%,66,0.30%,27,0.00%,0,"9,095"
Lipscomb,89.06%,"1,205",9.68%,131,1.26%,17,0.00%,0,0.00%,0,"1,353"
Live Oak,83.08%,"4,199",16.20%,819,0.59%,30,0.12%,6,0.00%,0,"5,054"
Llano,79.61%,"10,079",19.47%,"2,465",0.78%,99,0.13%,16,0.01%,1,"12,660"
Loving,90.91%,60,6.06%,4,3.03%,2,0.00%,0,0.00%,0,66
Lubbock,65.27%,"78,861",33.12%,"40,017",1.34%,"1,617",0.23%,276,0.03%,46,"120,817"
Lynn,80.81%,"1,853",18.67%,428,0.44%,10,0.09%,2,0.00%,0,"2,293"
Madison,78.69%,"4,169",20.54%,"1,088",0.57%,30,0.19%,10,0.02%,1,"5,298"
Marion,71.34%,"3,470",27.53%,"1,339",0.97%,47,0.16%,8,0.00%,0,"4,864"
Martin,85.97%,"1,857",13.33%,288,0.60%,13,0.09%,2,0.00%,0,"2,160"
Mason,80.48%,"1,991",18.47%,457,0.77%,19,0.08%,2,0.20%,5,"2,474"
Matagorda,71.72%,"9,845",27.19%,"3,733",0.84%,115,0.24%,33,0.01%,1,"13,727"
Maverick,44.84%,"6,881",54.29%,"8,332",0.48%,73,0.39%,60,0.00%,0,"15,346"
McCulloch,84.52%,"2,904",14.26%,490,1.05%,36,0.17%,6,0.00%,0,"3,436"
McLennan,60.84%,"59,543",37.49%,"36,688",1.33%,"1,297",0.25%,243,0.10%,101,"97,872"
McMullen,89.15%,460,10.27%,53,0.39%,2,0.19%,1,0.00%,0,516
Medina,69.04%,"15,642",29.89%,"6,773",0.81%,184,0.20%,45,0.06%,13,"22,657"
Menard,80.06%,823,19.16%,197,0.58%,6,0.19%,2,0.00%,0,"1,028"
Midland,77.34%,"45,624",20.90%,"12,329",1.32%,777,0.21%,126,0.22%,132,"58,988"
Milam,75.48%,"7,984",23.60%,"2,496",0.68%,72,0.23%,24,0.02%,2,"10,578"
Mills,88.50%,"2,217",10.82%,271,0.60%,15,0.08%,2,0.00%,0,"2,505"
Mitchell,84.14%,"2,170",15.39%,397,0.43%,11,0.04%,1,0.00%,0,"2,579"
Montague,87.74%,"8,615",11.17%,"1,097",0.79%,78,0.24%,24,0.05%,5,"9,819"
Montgomery,71.22%,"193,382",27.39%,"74,377",1.17%,"3,166",0.19%,526,0.03%,92,"271,543"
Moore,79.14%,"4,359",19.28%,"1,062",1.20%,66,0.38%,21,0.00%,0,"5,508"
Morris,69.30%,"3,872",29.87%,"1,669",0.64%,36,0.18%,10,0.00%,0,"5,587"
Motley,92.64%,604,7.06%,46,0.31%,2,0.00%,0,0.00%,0,652
Nacogdoches,64.88%,"17,378",33.60%,"9,000",1.13%,302,0.31%,83,0.08%,22,"26,785"
Navarro,72.16%,"13,800",26.67%,"5,101",0.87%,167,0.28%,53,0.01%,2,"19,123"
Newton,80.11%,"4,882",19.25%,"1,173",0.56%,34,0.08%,5,0.00%,0,"6,094"
Nolan,77.11%,"4,131",21.69%,"1,162",0.99%,53,0.19%,10,0.02%,1,"5,357"
Nueces,50.75%,"64,617",47.85%,"60,925",1.10%,"1,404",0.29%,368,0.01%,8,"127,322"
Ochiltree,89.10%,"2,812",9.57%,302,1.17%,37,0.10%,3,0.06%,2,"3,156"
Oldham,90.88%,917,8.03%,81,0.99%,10,0.10%,1,0.00%,0,"1,009"
Orange,81.09%,"29,186",17.66%,"6,357",1.04%,376,0.14%,51,0.06%,24,"35,994"
Palo Pinto,81.50%,"10,179",17.44%,"2,178",0.81%,101,0.22%,27,0.04%,4,"12,489"
Panola,81.44%,"9,326",17.96%,"2,057",0.50%,57,0.10%,11,0.00%,0,"11,451"
Parker,81.50%,"62,045",17.10%,"13,017",1.16%,880,0.21%,158,0.04%,28,"76,128"
Parmer,80.57%,"2,135",18.42%,488,0.87%,23,0.15%,4,0.00%,0,"2,650"
Pecos,68.87%,"3,215",29.61%,"1,382",1.07%,50,0.45%,21,0.00%,0,"4,668"
Polk,76.79%,"18,573",22.27%,"5,387",0.71%,171,0.21%,50,0.02%,5,"24,186"
Potter,68.45%,"22,820",29.76%,"9,921",1.36%,454,0.38%,126,0.05%,16,"33,337"
Presidio,32.52%,721,65.99%,"1,463",0.95%,21,0.54%,12,0.00%,0,"2,217"
Rains,85.16%,"5,155",13.91%,842,0.71%,43,0.21%,13,0.00%,0,"6,053"
Randall,78.54%,"50,796",19.79%,"12,802",1.41%,910,0.20%,129,0.06%,37,"64,674"
Reagan,83.81%,942,15.30%,172,0.62%,7,0.27%,3,0.00%,0,"1,124"
Real,82.90%,"1,643",16.15%,320,0.71%,14,0.25%,5,0.00%,0,"1,982"
Red River,77.80%,"4,517",21.46%,"1,246",0.62%,36,0.12%,7,0.00%,0,"5,806"
Reeves,61.10%,"2,254",37.82%,"1,395",0.81%,30,0.22%,8,0.05%,2,"3,689"
Refugio,65.66%,"2,210",32.92%,"1,108",0.77%,26,0.62%,21,0.03%,1,"3,366"
Roberts,96.18%,529,3.09%,17,0.73%,4,0.00%,0,0.00%,0,550
Robertson,69.71%,"5,646",29.31%,"2,374",0.81%,66,0.16%,13,0.00%,0,"8,099"
Rockwall,68.15%,"36,726",30.45%,"16,412",1.13%,611,0.22%,121,0.04%,21,"53,891"
Runnels,86.35%,"3,807",12.52%,552,0.88%,39,0.25%,11,0.00%,0,"4,409"
Rusk,77.34%,"16,534",21.65%,"4,629",0.73%,155,0.23%,50,0.04%,9,"21,377"
Sabine,87.12%,"4,784",12.18%,669,0.49%,27,0.13%,7,0.07%,4,"5,491"
San Augustine,75.14%,"3,007",24.49%,980,0.32%,13,0.05%,2,0.00%,0,"4,002"
San Jacinto,80.39%,"10,161",18.49%,"2,337",0.80%,101,0.31%,39,0.02%,2,"12,640"
San Patricio,63.79%,"16,516",34.71%,"8,988",1.12%,291,0.36%,93,0.01%,3,"25,891"
San Saba,88.70%,"2,308",11.03%,287,0.27%,7,0.00%,0,0.00%,0,"2,602"
Schleicher,81.10%,940,18.21%,211,0.52%,6,0.17%,2,0.00%,0,"1,159"
Scurry,84.89%,"4,983",13.94%,818,0.90%,53,0.26%,15,0.02%,1,"5,870"
Shackelford,91.15%,"1,484",7.99%,130,0.61%,10,0.25%,4,0.00%,0,"1,628"
Shelby,79.06%,"7,975",20.50%,"2,068",0.37%,37,0.04%,4,0.03%,3,"10,087"
Sherman,89.31%,886,9.17%,91,0.91%,9,0.50%,5,0.10%,1,992
Smith,68.85%,"69,080",29.52%,"29,615",1.12%,"1,126",0.25%,254,0.26%,259,"100,334"
Somervell,82.98%,"4,105",15.52%,768,1.13%,56,0.20%,10,0.16%,8,"4,947"
Starr,47.06%,"8,247",52.06%,"9,123",0.52%,92,0.36%,63,0.00%,0,"17,525"
Stephens,88.96%,"3,385",10.43%,397,0.42%,16,0.05%,2,0.13%,5,"3,805"
Sterling,91.39%,584,7.98%,51,0.47%,3,0.16%,1,0.00%,0,639
Stonewall,83.56%,615,15.76%,116,0.54%,4,0.14%,1,0.00%,0,736
Sutton,78.48%,"1,222",20.68%,322,0.58%,9,0.26%,4,0.00%,0,"1,557"
Swisher,78.34%,"1,845",20.30%,478,0.93%,22,0.42%,10,0.00%,0,"2,355"
Tarrant,49.09%,"409,741",49.31%,"411,567",1.24%,"10,368",0.31%,"2,617",0.05%,404,"834,697"
Taylor,71.73%,"39,547",26.46%,"14,588",1.50%,827,0.27%,150,0.04%,23,"55,135"
Terrell,72.93%,334,25.98%,119,0.66%,3,0.44%,2,0.00%,0,458
Terry,77.85%,"2,812",20.96%,757,0.91%,33,0.28%,10,0.00%,0,"3,612"
Throckmorton,90.16%,806,9.17%,82,0.56%,5,0.11%,1,0.00%,0,894
Titus,71.81%,"7,570",27.09%,"2,856",0.89%,94,0.18%,19,0.02%,2,"10,541"
Tom Green,71.47%,"32,313",27.07%,"12,239",1.21%,546,0.21%,96,0.03%,16,"45,210"
Travis,26.43%,"161,337",71.41%,"435,860",1.46%,"8,905",0.34%,"2,094",0.36%,"2,153","610,349"
Trinity,80.41%,"5,579",19.07%,"1,323",0.36%,25,0.16%,11,0.00%,0,"6,938"
Tyler,84.82%,"8,194",14.52%,"1,403",0.54%,52,0.11%,11,0.00%,0,"9,660"
Upshur,83.56%,"15,809",15.21%,"2,877",0.95%,179,0.12%,22,0.18%,32,"18,919"
Upton,86.11%,"1,178",12.43%,170,0.95%,13,0.51%,7,0.00%,0,"1,368"
Uvalde,59.69%,"6,174",39.38%,"4,073",0.64%,66,0.28%,29,0.02%,2,"10,344"
Val Verde,54.21%,"8,284",44.31%,"6,771",1.11%,170,0.31%,47,0.05%,8,"15,280"
Van Zandt,85.56%,"22,270",13.51%,"3,516",0.67%,175,0.13%,33,0.13%,35,"26,029"
Victoria,68.25%,"23,358",30.33%,"10,380",0.99%,339,0.30%,103,0.13%,46,"34,226"
Walker,65.12%,"15,375",33.39%,"7,884",1.22%,287,0.27%,63,0.01%,3,"23,612"
Waller,62.73%,"14,260",36.03%,"8,191",0.88%,201,0.36%,82,0.00%,0,"22,734"
Ward,79.83%,"3,241",18.82%,764,0.71%,29,0.64%,26,0.00%,0,"4,060"
Washington,74.27%,"12,959",24.42%,"4,261",1.02%,178,0.11%,20,0.18%,31,"17,449"
Webb,37.80%,"25,898",61.05%,"41,820",0.65%,446,0.34%,233,0.16%,109,"68,506"
Wharton,71.15%,"11,926",28.01%,"4,694",0.63%,105,0.21%,36,0.00%,0,"16,761"
Wheeler,92.38%,"2,159",7.19%,168,0.30%,7,0.13%,3,0.00%,0,"2,337"
Wichita,69.65%,"32,069",28.59%,"13,161",1.47%,675,0.27%,125,0.02%,10,"46,040"
Wilbarger,77.90%,"3,524",21.13%,956,0.73%,33,0.24%,11,0.00%,0,"4,524"
Willacy,43.99%,"2,441",56.01%,"3,108",0.00%,0,0.00%,0,0.00%,0,"5,549"
Williamson,48.15%,"139,729",49.56%,"143,795",1.72%,"4,998",0.27%,790,0.30%,856,"290,168"
Wilson,73.76%,"18,463",25.37%,"6,350",0.60%,151,0.16%,39,0.11%,29,"25,032"
Winkler,82.46%,"1,753",16.84%,358,0.66%,14,0.05%,1,0.00%,0,"2,126"
Wise,83.52%,"27,032",15.37%,"4,973",0.96%,310,0.15%,47,0.01%,3,"32,365"
Wood,83.63%,"19,049",15.40%,"3,509",0.77%,175,0.18%,40,0.02%,6,"22,779"
Yoakum,82.63%,"2,174",15.96%,420,1.18%,31,0.23%,6,0.00%,0,"2,631"
Young,86.30%,"7,110",12.55%,"1,034",0.92%,76,0.22%,18,0.01%,1,"8,239"
Zapata,52.48%,"2,033",47.13%,"1,826",0.28%,11,0.10%,4,0.00%,0,"3,874"
Zavala,34.03%,"1,490",65.40%,"2,864",0.30%,13,0.27%,12,0.00%,0,"4,379"